signal,description,total_matches,t1_return_n,t1_return_mean,t3_return_n,t3_return_mean,t5_n,t5_return_n,t5_return_mean,t10_return_n,t10_return_mean,t5_median,t5_win_rate,t5_t_stat
S1,ds_score >= 0.25,130,130,0.007507353317037562,130,0.007857963786982647,130,130,0.019237089733227623,130,0.02654649860331712,0.029733831838631986,0.6153846153846154,3.235461242292891
S2,qw_score >= 0.25,72,71,0.007871197993334442,71,0.01580385315768474,71,71,0.02355515423162441,71,0.024571795790223398,0.013215079349472041,0.6056338028169014,2.887842332882527
S3,avg_score >= 0.25,60,60,0.01036244290770491,60,0.021677985116678282,60,60,0.03065071977717965,60,0.02851574116279054,0.03135547579612903,0.6666666666666666,3.2981927298078704
S4,ds_direction = 'positive',130,130,0.007507353317037562,130,0.007857963786982647,130,130,0.019237089733227623,130,0.02654649860331712,0.029733831838631986,0.6153846153846154,3.235461242292891
S5,qw_direction = 'positive',85,84,0.0068960941639025775,84,0.00822294542158109,84,84,0.016657608930695247,84,0.01981069524693612,0.013155241935483796,0.5952380952380952,1.8393456827836079
S6,ds or qw positive,155,154,0.0062285631635660655,154,0.0030904930646884795,154,154,0.014203932937785593,154,0.02225567283157617,0.013708433672181745,0.5909090909090909,2.3638430827340633
S7,ds and qw positive,60,60,0.009933818563225422,60,0.020605446262642164,60,60,0.02854425238465018,60,0.02812949338518549,0.026977347457840688,0.65,3.0732257640021237
S8,ds_score <= -0.25,63,63,0.007602253836974235,63,0.01973608770176514,62,62,0.032660995064338436,60,0.049613525634891395,0.033993227402969554,0.7096774193548387,4.172069025274185
S9,qw_score <= -0.25,75,75,0.003848802238767713,75,0.013484176109656252,74,74,0.02011713675345972,72,0.03216174626062631,0.017498046652791095,0.7027027027027027,3.001198185755102
S10,avg_score <= -0.25,62,62,0.004942455790902913,62,0.01661473706778356,61,61,0.02484274562425862,59,0.036586765621759464,0.018649530721047594,0.7213114754098361,3.3382089069728074
